.,,
Footloose - Kenny Loggins,I Want It That Way - Backstreet Boys,Can't Stop The Feeling - Justin Timberlake
Sugar We're Going Down - Fall Out Boy,Shut Up And Dance - Walk The Moon,Shake It Off - Taylor Swift
You Shook Me All Night Long - AC/DC,Don't Stop Believin' - Journey,Ride - Twenty One Pilots
Uptown Funk - Bruno Mars,Life Is A Highway - Rascall Flatts,Raspberry Beret - Prince
Country Girl (Shake It For Me) - Luke Bryan,Man I Feel Like A Woman - Shania Twain,Crazy Bitch - Buckcherry
I Wanna Dance With Somebody - Whitney Houston,Friends In Low Places - Garth Brooks,Hurt So Good - John Mellencamp
Walk Like An Egyptian - The Bangles,Jessie's Girl - Rick Springfield,The Middle - Jimmy Eat World
Bad Girlfriend - Theory of a Deadman,Stacy's Mom - Fountains of Wayne,Pour Some Sugar On Me - Def Leppard
All The Small Things - Blink 182,Classic - MKTO,Cruise - Florida Georgia Line
Are You Gonna Be My Girl - Jet,1985 - Bowling For Soup,Jump Around - House of Pain
Moves Like Jagger - Maroon 5,On The Dark Side - John Cafferty,She Hates Me - Puddle of Mudd
This Is How We Roll - Florida Georgia Line,Mr. Brightside - The Killers,I Want You To Want Me - Cheap Trick
House Party - Sam Hunt,Folsom Prison Blues - Johnny Cash,Sweet Home Alabama - Lynyrd Skynyrd
Bye Bye Bye - NSYNC,Summer of '69 - Bryan Adams,This Is How We Do It - Montell Jordan
Kryptonite - 3 Doors Down,Don't You Forget About Me - Simple Minds,Cowboy - Kid Rock
Sweet Caroline - Neil Diamond,Living On A Prayer - Bon Jovi,American Girl - Tom Petty & The Heartbreakers
Dancing With Myself - Billy Idol,Bawitdaba - Kid Rock,My Own Worst Enemy - Lit
Should I Stay Or Should I Go - The Clash,Save A Horse Ride A Cowboy - Big & Rich,Paralyzer - Finger Eleven
Wagon Wheel - Darius Rucker,Talk Dirty To Me - Poison,I Saw Her Standing There - The Beatles
What I Got - Sublime,Blister In The Sun - Violent Femmes,Your Love - The Outfield
Brown Eyed Girl - Van Morrison,What I Like About You - Romantics,Rock N Roll All Nite - Kiss
Ballroom Blitz - The Sweet,Inside Out - Eve 6,Too Much Time On My Hands - Styx
Hey Jealousy - Gin Blossoms,Harder To Breathe - Maroon 5,Miss You - The Rolling Stones
Hungry Like The Wolf - Duran Duran,What's My Age Again - Blink 182,Rock This Town - Stray Cats
867-5309 Jenny - Tommy Tutone,Nothing But A Good Time - Poison,This Love - Maroon 5
Good - Better Than Ezra,I Got A New Girl Now - Honeymoon Suite,3am - Matchbox 20
Purple Rain - Prince,Heaven - Los Lonely Boys,La Bamba - Los Lobos
