"link_name","link_url","link_rss","link_description","link_notes","name","link_visible","link_second_url","link_telephone","link_email","link_reciprocal","link_image","link_textfield","link_no_follow"
"","","","","","Blogroll","","","","","","","",""
"White&#039;s Noize","http://www.whitesnoize.com/","","Omaha’s own Scott White is the genius behind Lemon Fresh Day’s lighting &amp; sound production","","Business Partners","Y","","","","","","",""
"Twitter.com/dannygarciaacoustic","http://twitter.com/dannygarciaacoustic","","Danny’s twitter page","","Business Partners","Y","","","","","","",""
"Facebook.com/DannyGarciaacoustic","http://www.facebook.com/dannygarciaacoustic","","Lead singer, Danny Garcia’s solo acoustic project. Playing all of your favorite songs from yesterday to today, even mixing in his own original music!  Hear songs you’ll never hear from LFD and some neat acoustic versions of some songs you do.","","Business Partners","Y","","","","","","",""
"Twitter.com/lemonfreshday","http://www.twitter.com/lemonfreshday","","Get bulletins and show news on our Twitter feed!","","Business Partners","Y","","","","","","",""
"Facebook.com/TheTequilaBrothers","http://www.facebook.com/thetequilabrothers","","Danny from LFD's acoustic side project, featuring Dave Bontrager from The Fishheads on keyboards!  An interactive, audience-participation, dueling-pianos  type feel (but with only 1 piano &amp; acoustic guitar)","","Business Partners","Y","","","","","","",""
"Paint Anything","http://www.paintanything.com/","","Colorado-based artist Scott Brayshaw designed both Lemon Fresh Day logos and can create any graphic design, logo, custom paint job, etc.","","Business Partners","Y","","","","","http://lemonfreshday.com/wp-content/uploads/2014/12/9e351b6fe9a61a2821e8e3d1d8cc7e36.jpg","",""
"M J Fitzpatrick Law","http://www.mjfitzpatricklaw.com/","","official legal representation of Lemon Fresh Day (Mike also happens to be a good bass player, too!)","","Business Partners","Y","","","","","","",""
"Facebook.com/LemonFreshDay","http://Facebook.com/lemonfreshday","","Lemon Fresh Day’s band page (please ‘like’!)","","Business Partners","Y","","","","","","",""
"Blue Iguana","http://blueiguana.net","","LFD's t-shirt supplier.  Great quality product at affordable prices + the extra customer service care you always want.","","Business Partners","Y","","","","","http://lemonfreshday.com/wp-content/uploads/2014/12/blue_iguana.jpg","",""
"Guitar Picks from Steve Clayton, Inc.","http://www.steveclayton.com","","Custom Imprinted Guitar Picks by Clayton, Inc.","","Business Partners","Y","","","","","","",""
"Facebook.com/TheGraciousMelodies","http://facebook.com/thegraciousmelodies","","Troy &amp; Will's 'Stone Temple Pilots' tribute band!  Hear all your favorite hits.","","Business Partners","Y","","","","","","",""
"Twitter.com/HermanosTequila","http://twitter.com/hermanostequila","","The Tequla Brothers' Twitter page.  Danny + Dave Bontrager from The Fishheads on keys... on Twitter!","","Business Partners","Y","","","","","","",""
"Omaha Musicians Live","https://www.omahamusicianslive.com","","Omaha’s live music entertainment booking website.  Specializing in finding and organizing musical entertainment to meet the special needs of private &amp; public clients.","","Business Partners","Y","","","","","","",""
"Facebook.com/SaPAIC","http://facebook.com/sapaic","","Troy &amp; Will's 'Alice In Chains' tribute band!","","Business Partners","Y","","","","","","",""
